,index,truth,prediction,issue
0,1026,water-flowing,water-flowing,
1,784,plates,plates,
2,826,plates,plates,
3,111,book,book,
4,472,drawer,drawer,
5,36,blender,blender,
6,852,stove-burner,stove-fan,
7,288,cupboard,cupboard,
8,184,chopping,chopping,
9,558,fridge,fridge,
10,731,peel,peel,
11,846,stove-burner,stove-burner,
12,479,drawer,drawer,
13,84,boiling-water,frying-pan,
14,891,stove-fan,stove-fan,
15,976,sweep,frying-pan,
16,1,blender,juicer,
17,792,plates,plates,
18,616,frying-pan,water-flowing,
19,1058,juicer,juicer,
20,41,blender,dishwasher,
21,522,eat,eat,
22,30,blender,blender,
23,1012,water-flowing,water-flowing,
24,1006,water-flowing,water-flowing,
25,292,cutlery,cutlery,
26,865,stove-burner,stove-burner,
27,2,blender,blender,
28,150,chopping,peel,
29,7,blender,blender,
30,224,clean-dishes,water-flowing,
31,942,sweep,sweep,
32,614,frying-pan,frying-pan,
33,892,stove-fan,stove-fan,
34,537,fridge,cupboard,
35,1050,peel,peel,
36,256,cupboard,chopping,
37,277,cupboard,cupboard,
38,104,book,book,
39,823,plates,plates,
40,405,dishwasher,stove-fan,
41,1056,juicer,juicer,
42,317,cutlery,cutlery,
43,214,clean-dishes,clean-dishes,
44,310,cutlery,cutlery,
45,262,cupboard,drawer,
46,148,chopping,chopping,
47,378,dishwasher,dishwasher,
48,909,stove-fan,stove-fan,
49,574,frying-pan,frying-pan,
50,174,chopping,chopping,
51,798,plates,plates,
52,738,peel,peel,
53,679,microwave,juicer,
54,566,fridge,cupboard,
55,635,frying-pan,frying-pan,
56,575,frying-pan,frying-pan,
57,320,cutlery,cutlery,
58,573,frying-pan,frying-pan,
59,971,sweep,sweep,
60,978,sweep,sweep,
61,880,stove-fan,stove-fan,
62,446,drawer,drawer,
63,656,juicer,blender,
64,505,eat,eat,
65,769,plates,plates,
66,492,eat,eat,
67,209,clean-dishes,eat,
68,326,cutlery,cutlery,
69,782,plates,plates,
70,274,cupboard,cupboard,
71,811,plates,plates,
72,733,peel,peel,
73,898,stove-fan,stove-fan,
74,845,stove-burner,stove-burner,
75,156,chopping,chopping,
76,682,microwave,microwave,
77,795,plates,plates,
78,1040,cupboard,cupboard,
79,145,chopping,chopping,
